Symbol,Market,Market Cap,Market Cap Value,Market Cap Bucket,Signal,Close,EMA20,EMA30,Volume Confirm,Close > EMA20,Close > EMA30,EMA20 > EMA30,Bar Date
BRK-B,USA,1.1T,1103317041152.0,Mega Cap,BREAKOUT BUY,511.5400085449219,498.96219361186195,496.56466763684665,False,True,True,True,2026-07-24
MSFT,USA,3.5T,3450799652864.0,Mega Cap,BREAKOUT BUY,464.7200012207031,402.1859271900712,399.313750214586,True,True,True,True,2026-07-28
AMZN,USA,2.9T,2921415835648.0,Mega Cap,WATCH,271.5799865722656,242.65145665658147,243.45235485193962,True,True,True,False,2026-07-31
GOOG,USA,4.4T,4361806151680.0,Mega Cap,WATCH,356.6499938964844,343.931224950703,347.3251889126041,True,True,True,False,2026-07-31
GOOGL,USA,4.4T,4355446800384.0,Mega Cap,WATCH,356.1300048828125,344.82624442964027,348.5509956817847,True,True,True,False,2026-07-31
JPM,USA,N/A,,Unknown,WATCH,351.7900085449219,344.18816576828834,339.29525617244684,False,True,True,True,2026-06-04
MA,USA,502.0B,502041247744.0,Mega Cap,WATCH,573.0999755859375,543.6111772757758,534.8681785262262,True,True,True,True,2026-06-26
V,USA,683.6B,683582029824.0,Mega Cap,WATCH,366.1300048828125,356.8477540744121,352.02312160207515,True,True,True,True,2026-06-12
XOM,USA,N/A,,Unknown,WATCH,155.44000244140625,150.35083563598042,148.7951963333677,True,True,True,True,2026-07-13
