symbol,market,display_symbol
BALL,USA,BALL
J,USA,J
LDOS,USA,LDOS
KIM,USA,KIM
GEN,USA,GEN
HST,USA,HST
MAA,USA,MAA
SWK,USA,SWK
PTC,USA,PTC
LII,USA,LII
ALB,USA,ALB
TXT,USA,TXT
MAS,USA,MAS
DOC,USA,DOC
AIZ,USA,AIZ
SOLV,USA,SOLV
COO,USA,COO
REG,USA,REG
GL,USA,GL
BAX,USA,BAX
ALLE,USA,ALLE
EG,USA,EG
LULU,USA,LULU
IVZ,USA,IVZ
MKC,USA,MKC
HRL,USA,HRL
TKO,USA,TKO
TRMB,USA,TRMB
DECK,USA,DECK
ERIE,USA,ERIE
AVY,USA,AVY
BF-B,USA,BF-B
GNRC,USA,GNRC
CLX,USA,CLX
HAS,USA,HAS
APA,USA,APA
SJM,USA,SJM
RVTY,USA,RVTY
HII,USA,HII
CRL,USA,CRL
TYL,USA,TYL
FOXA,USA,FOXA
ALGN,USA,ALGN
UDR,USA,UDR
PNW,USA,PNW
IT,USA,IT
FOX,USA,FOX
CSGP,USA,CSGP
DPZ,USA,DPZ
DVA,USA,DVA
MGM,USA,MGM
GDDY,USA,GDDY
TECH,USA,TECH
PNR,USA,PNR
BXP,USA,BXP
CPT,USA,CPT
JKHY,USA,JKHY
NWSA,USA,NWSA
WYNN,USA,WYNN
AES,USA,AES
FRT,USA,FRT
UHS,USA,UHS
PSKY,USA,PSKY
HSIC,USA,HSIC
SWKS,USA,SWKS
APTV,USA,APTV
FDS,USA,FDS
PODD,USA,PODD
NCLH,USA,NCLH
AOS,USA,AOS
ARE,USA,ARE
TTD,USA,TTD
TAP,USA,TAP
BLDR,USA,BLDR
MOS,USA,MOS
